model,adapter,poison_type,toxic_tsr,bcr,adr,vr,rr,n
gpt-5.4-mini,data2mcp_dataframe,aggregate_scale,0.35,0.23,0.19,0.00,0.15,26
gpt-5.4-mini,data2mcp_dataframe,denominator_swap,0.00,0.00,0.00,0.00,0.00,3
gpt-5.4-mini,data2mcp_dataframe,missing_filter,0.33,0.00,0.33,0.00,0.00,3
gpt-5.4-mini,data2mcp_dataframe,rank_swap,0.50,0.44,0.06,0.06,0.06,16
gpt-5.4-mini,data2mcp_dataframe,ratio_inversion,0.00,0.33,0.33,0.00,0.00,3
gpt-5.4-mini,data2mcp_dataframe,sign_flip,0.75,0.00,0.12,0.00,0.12,8
gpt-5.4-mini,data2mcp_dataframe,unit_conversion,0.00,0.00,1.00,0.00,0.00,1
gpt-5.4-mini,data2mcp_dataframe_caution,aggregate_scale,0.46,0.27,0.08,0.12,0.12,26
gpt-5.4-mini,data2mcp_dataframe_caution,denominator_swap,0.33,0.00,0.33,0.00,0.00,3
gpt-5.4-mini,data2mcp_dataframe_caution,missing_filter,0.33,0.00,0.33,0.67,0.00,3
gpt-5.4-mini,data2mcp_dataframe_caution,rank_swap,0.31,0.25,0.06,0.25,0.19,16
gpt-5.4-mini,data2mcp_dataframe_caution,ratio_inversion,0.33,0.67,0.00,0.00,0.00,3
gpt-5.4-mini,data2mcp_dataframe_caution,sign_flip,0.75,0.12,0.12,0.50,0.50,8
gpt-5.4-mini,data2mcp_dataframe_caution,unit_conversion,0.00,0.00,1.00,0.00,0.00,1
gpt-5.4-mini,data2mcp_dataframe_expectation_only,aggregate_scale,0.38,0.46,0.08,0.00,0.04,26
gpt-5.4-mini,data2mcp_dataframe_expectation_only,denominator_swap,0.00,0.00,0.00,0.00,0.00,3
gpt-5.4-mini,data2mcp_dataframe_expectation_only,missing_filter,0.33,0.00,0.00,0.00,0.00,3
gpt-5.4-mini,data2mcp_dataframe_expectation_only,rank_swap,0.44,0.44,0.06,0.12,0.06,16
gpt-5.4-mini,data2mcp_dataframe_expectation_only,ratio_inversion,0.00,0.67,0.00,0.00,0.00,3
gpt-5.4-mini,data2mcp_dataframe_expectation_only,sign_flip,0.75,0.00,0.00,0.00,0.00,8
gpt-5.4-mini,data2mcp_dataframe_expectation_only,unit_conversion,0.00,1.00,0.00,0.00,0.00,1
gpt-5.4-mini,data2mcp_dataframe_guarded,aggregate_scale,0.77,0.00,1.00,1.00,0.77,26
gpt-5.4-mini,data2mcp_dataframe_guarded,denominator_swap,0.00,0.00,1.00,1.00,0.00,3
gpt-5.4-mini,data2mcp_dataframe_guarded,missing_filter,1.00,0.00,1.00,1.00,1.00,3
gpt-5.4-mini,data2mcp_dataframe_guarded,rank_swap,0.81,0.00,1.00,1.00,0.81,16
gpt-5.4-mini,data2mcp_dataframe_guarded,ratio_inversion,0.33,0.00,1.00,1.00,0.33,3
gpt-5.4-mini,data2mcp_dataframe_guarded,sign_flip,0.88,0.00,1.00,1.00,0.88,8
gpt-5.4-mini,data2mcp_dataframe_guarded,unit_conversion,1.00,0.00,1.00,1.00,1.00,1
gpt-5.4-mini,data2mcp_dataframe_guarded_light,aggregate_scale,0.81,0.00,1.00,1.00,0.81,26
gpt-5.4-mini,data2mcp_dataframe_guarded_light,denominator_swap,0.00,0.00,1.00,1.00,0.00,3
gpt-5.4-mini,data2mcp_dataframe_guarded_light,missing_filter,1.00,0.00,1.00,1.00,1.00,3
gpt-5.4-mini,data2mcp_dataframe_guarded_light,rank_swap,0.81,0.00,1.00,1.00,0.81,16
gpt-5.4-mini,data2mcp_dataframe_guarded_light,ratio_inversion,0.33,0.00,1.00,1.00,0.33,3
gpt-5.4-mini,data2mcp_dataframe_guarded_light,sign_flip,1.00,0.00,1.00,1.00,1.00,8
gpt-5.4-mini,data2mcp_dataframe_guarded_light,unit_conversion,1.00,0.00,1.00,1.00,1.00,1
gpt-5.4-mini,data2mcp_dataframe_verification_only,aggregate_scale,0.65,0.00,1.00,0.65,0.65,26
gpt-5.4-mini,data2mcp_dataframe_verification_only,denominator_swap,0.00,0.00,1.00,0.00,0.00,3
gpt-5.4-mini,data2mcp_dataframe_verification_only,missing_filter,0.33,0.00,1.00,0.67,0.33,3
gpt-5.4-mini,data2mcp_dataframe_verification_only,rank_swap,0.88,0.00,1.00,0.94,0.88,16
gpt-5.4-mini,data2mcp_dataframe_verification_only,ratio_inversion,0.33,0.00,1.00,0.67,0.33,3
gpt-5.4-mini,data2mcp_dataframe_verification_only,sign_flip,0.75,0.00,1.00,1.00,0.75,8
gpt-5.4-mini,data2mcp_dataframe_verification_only,unit_conversion,1.00,0.00,1.00,1.00,1.00,1
